DAY,DELAY
58595.42741,256.258878
58684.10417,-413.5235414
58750.74697,-479.5104298
58751.98648,-474.6170601
58761.6707,-431.9046795
58772.85106,-368.9950203
58786.92579,-271.6615003
58810.77428,-77.23780372
58832.67104,109.5107244
58853.48718,268.9509234
58871.6112,375.9022372
58881.61752,418.0568952
58896.62394,455.3156261
58923.54419,438.9835289
58935.53677,398.3834356
58948.26762,335.5696372
58965.41891,224.2803983
58980.34569,109.6712063
58992.25253,11.54705671
59005.19727,-96.73958143
59018.10907,-201.4266661
59032.13588,-305.883301
59047.12087,-400.2319111
59060.95704,-466.5826505
59073.98375,-507.5163203
59087.88671,-525.5676042
59103.80393,-512.356474
59119.85597,-463.3801906
59132.83754,-399.3380397
59156.69648,-236.1187857
59166.63797,-155.7663594
59181.76222,-26.88401412
59191.74698,58.71423997
59217.5195,261.3862381
59237.38105,379.5346703
59247.55157,421.5966838
59263.57106,458.3708026
59277.35642,459.9236339
59291.32678,433.1620076
59306.32106,374.4626167
59319.33106,301.6716843
59334.16528,199.3839617
59347.14662,97.92940917
59359.13421,-1.301253785
59373.20477,-118.7126391
59388.01873,-236.6561193
59401.10153,-330.4309636
59416.93659,-423.7232208
59431.8981,-486.3536934
59442.9565,-514.461802
59456.95227,-525.0755936
59483.94722,-467.4977683
59501.84467,-376.7877203
59510.68865,-318.9013281
59523.65298,-222.3300666
59539.61027,-90.15578184
59548.63214,-12.62699582
59562.63662,106.4240527
59575.55921,209.2179854
59592.53026,325.0616403
59623.38185,450.287215
59641.33315,461.3315984
59648.49143,452.3645052
59666.26004,398.5661826
59679.29717,333.4805078
59692.25222,251.2824249
59707.1637,139.9683995
59715.18855,75.15440962
59731.12003,-57.74676837
59749.04592,-204.1584071
59759.15227,-280.4108649
59778.00334,-401.8018051
59786.94462,-446.7174356
59799.97699,-495.4621862
59821.79528,-525.5196501
59829.81195,-519.5197305
59848.79603,-469.4938911
59867.72366,-373.1154624
59879.85486,-291.3669812
59891.82538,-199.2277552
59916.58396,10.19644293
59932.53844,144.0240249
59943.48523,228.6231637
59953.57965,298.3852868
59970.4319,390.8776405
59991.39065,454.5565517
60033.38852,389.7779355
60049.21336,305.2351537
60063.19363,209.7650626
60074.13944,125.6467866
60092.22897,-23.69418417
60101.15991,-98.38196693
60115.03079,-210.6136676
60131.16186,-328.1595374
60149.12168,-433.0943476
60162.89807,-488.9735865
60173.86685,-516.1460424
60184.90491,-526.1983401
60199.81551,-512.3997702
