DAY,DELAY
58595.42741,256.258878
58595.42741,256.2588717
58595.42741,256.258868
58595.42741,256.258878
58595.42741,256.258873
58595.42741,256.2588698
58595.42741,256.2588741
58595.42741,256.2588597
58595.42741,256.2588977
58595.42741,256.2589134
58595.42741,256.2588793
58595.42741,256.2588833
58595.42741,256.2588877
58595.42741,256.2588782
58595.42741,256.2588681
58595.42741,256.2588699
58595.42741,256.2588697
58595.42741,256.2588663
58595.42741,256.258863
58595.42741,256.258879
58595.42741,256.2588809
58595.42741,256.2588772
58595.42741,256.2588774
58595.42741,256.2588572
58595.42741,256.2588743
58595.42741,256.258877
58595.42741,256.2588835
58595.42741,256.2588811
58684.10417,-413.5235414
58684.10417,-413.5235354
58684.10417,-413.5235432
58684.10417,-413.5235458
58684.10417,-413.5235414
58684.10417,-413.5235285
58684.10417,-413.5235549
58684.10417,-413.5235473
58684.10417,-413.5235577
58684.10417,-413.5235405
58684.10417,-413.5235407
58684.10417,-413.5235499
58684.10417,-413.5235299
58684.10713,-413.5399899
58684.10713,-413.5399934
58684.10713,-413.5399859
58684.10713,-413.5399751
58684.10713,-413.5399992
58684.10713,-413.539986
58684.10713,-413.5399906
58684.10713,-413.5399849
58684.10713,-413.5399947
58684.10713,-413.5399889
58684.10713,-413.539989
58684.10713,-413.5399984
58684.10713,-413.5399748
58684.10713,-413.5400008
58684.10713,-413.5399888
58750.74697,-479.5104298
58750.74697,-479.5104389
58750.74697,-479.5104295
58750.74697,-479.5104274
58750.74697,-479.51043
58750.74697,-479.5104276
58750.74697,-479.5104305
58750.74697,-479.5104299
58750.74697,-479.5104284
58750.74697,-479.5104294
58750.74697,-479.5104224
58750.74697,-479.5104287
58750.74697,-479.5104232
58750.74697,-479.5104329
58750.74697,-479.5104312
58750.74697,-479.5104251
58750.74697,-479.5104282
58750.74697,-479.5104273
58750.74697,-479.5104237
58750.74697,-479.5104381
58750.74991,-479.5001639
58750.74991,-479.5001567
58750.74991,-479.5001593
58750.74991,-479.5001561
58750.74991,-479.5001591
58750.74991,-479.5001597
58750.74991,-479.5001594
58750.74991,-479.5001603
58750.74991,-479.5001601
58750.74991,-479.5001596
58750.74991,-479.5001618
58750.74991,-479.5001601
58750.74991,-479.5001674
58750.74991,-479.5001631
58750.74991,-479.5001569
58750.74991,-479.5001617
58750.74991,-479.5001602
58750.74991,-479.5001693
58750.74991,-479.5001712
58750.74991,-479.5001482
58750.75288,-479.4897362
58750.75288,-479.4897394
