DAY,DELAY
58782.37667,481.8241098
58782.37667,481.8241109
58813.35467,559.6781784
58813.35467,559.6781705
58813.35467,559.6781752
58813.35467,559.6781705
58813.35467,559.6781749
58813.35467,559.6781708
58813.35467,559.678177
58813.35467,559.6781725
58813.35467,559.6781731
58813.35467,559.6781721
58813.35467,559.6781723
58813.35467,559.6781723
58813.35467,559.6781724
58813.35467,559.6781735
58813.35467,559.6781722
58813.35467,559.6781718
58813.35467,559.678173
58813.35467,559.6781713
58813.35467,559.6781703
58813.35467,559.6781704
58813.35467,559.6781708
58813.35467,559.6781698
58813.35467,559.6781731
58813.35467,559.6781717
58813.35467,559.6781711
58813.35467,559.6781682
58813.35467,559.6781688
58813.35467,559.6781709
58813.35467,559.6781706
58813.35467,559.6781704
58813.35467,559.6781709
58813.35467,559.6781716
58832.30955,537.3540374
58832.30955,537.3540347
58832.30955,537.3540342
58832.30955,537.3540342
58832.30955,537.3540364
58832.30955,537.3540332
58832.30955,537.354034
58832.30955,537.3540359
